OBJECTID,location_name,elevation,longitude,latitude,geom,element,precip_year,precip_month,time_,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day30,day31
1,Humbe,2284,36.01667,8.68333,point,PRECIP,1986,03,09:00,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,4.5,0,13.5,2.6,2.5,0,2.3,0,0,0,0,0,0.1,0.5,5.6
2,Humbe,2284,36.01667,8.68333,point,PRECIP,1986,04,09:00,0.9,4.5,2.9,4.3,0,0,0,0,0,0,0,0,0,0.5,0,15.7,0,0,2.8,0,0,0,16.5,0,0,0,0,0,0,0,
3,Humbe,2284,36.01667,8.68333,point,PRECIP,1986,05,09:00,0,0,0,12.3,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,11.9,6.8,23.8,0.5,5.6,2.5,0
4,Humbe,2284,36.01667,8.68333,point,PRECIP,1986,06,09:00,7.2,31.9,0,17.7,18.7,4.2,10.3,20.8,16.5,1.6,6,9.6,38.2,6.4,14.3,0,12.7,0,0,1.9,4.7,3.3,0,17.3,20,5.2,18.9,1.8,0,0,
5,Humbe,2284,36.01667,8.68333,point,PRECIP,1986,07,09:00,45.5,5,9,13.6,16.5,10.3,10.1,13,2.5,2.4,0,11.1,0,10.8,16.8,0,2.2,2.3,11.3,5.2,2.9,10.5,13.4,14.5,9.9,2.1,11.7,0,8.6,2.7,1.3
6,Humbe,2284,36.01667,8.68333,point,PRECIP,1986,08,09:00,10.3,5.9,16.3,1.3,23.3,5.7,0,4.4,0,13.6,3.5,3.5,28.7,0.3,2.5,33,30.2,16.7,9.3,0,29.3,0,0,0.4,0,15.5,1.5,22.7,0.4,0,8.1
7,Humbe,2284,36.01667,8.68333,point,PRECIP,1986,09,09:00,23,14.2,9.4,13.7,5.9,0.6,5.3,37.5,6.8,2.6,5,5.3,10,5.7,16.5,4,0,1.5,17.4,13,0.2,15.5,0,13.6,0,0,9,0,0,6.8,
8,Humbe,2284,36.01667,8.68333,point,PRECIP,1986,10,09:00,0,0,0,9.8,5.6,0.5,0,0,0,10.9,0,0,0,0,0,0,7.1,0,0,0,17.7,15.2,0,0,0,0,0,0,0,0,0
9,Humbe,2284,36.01667,8.68333,point,PRECIP,1986,11,09:00,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1.7,2.6,3.5,0,0,0,0,0,0,0,0,0,
10,Humbe,2284,36.01667,8.68333,point,PRECIP,1986,12,09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Ambo Agriculture,2068,37.83967,8.984667,point,PRECIP,1986,01,09:00,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0.5
12,Ambo Agriculture,2068,37.83967,8.984667,point,PRECIP,1986,02,09:00,0,0,0,0.6,1.2,0,0,0,0,0,0,0.3,0.2,0.5,0,0.5,0,0,0,0,0,45,1.1,0.3,3.4,4.5,0.5,3.5,,,
13,Ambo Agriculture,2068,37.83967,8.984667,point,PRECIP,1986,03,09:00,6.5,4.5,4.5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,10.8,1.3,10.5,0,0,0,1.6,0.8,0,0,0,0,0,0
14,Ambo Agriculture,2068,37.83967,8.984667,point,PRECIP,1986,04,09:00,10.6,7.8,22.8,0,10.5,0,0,0,0,0,0,0,0,31.5,0,0,0,0,5.8,1.4,0,1.6,0,7.5,4.2,0,0,0,0,0,
15,Ambo Agriculture,2068,37.83967,8.984667,point,PRECIP,1986,05,09:00,0,0,0,9.4,30,0.3,2.8,2.4,7,2.1,0,0,2.1,1.3,0.2,1.7,2.5,0,0,3,1.4,0,0,0,0,0,9.8,8.3,0,0,0
16,Ambo Agriculture,2068,37.83967,8.984667,point,PRECIP,1986,06,09:00,0,8.1,0,0,5.4,19,0.3,7.2,0,9.2,5,0.5,7.4,9.2,26.9,0.9,17.8,3.5,11,24.5,0.7,7.6,0.2,1.9,2.2,0.9,22.7,3.3,1.4,0,
17,Ambo Agriculture,2068,37.83967,8.984667,point,PRECIP,1986,07,09:00,1,3.8,0,29.5,15.4,7.5,11.9,5.3,13,1.3,1.6,18.2,1.2,0.8,1.6,5.7,0,10.2,11.6,3,5.4,13.8,10.2,1.9,25.5,5.2,0.1,1.1,5.6,5.3,
18,Ambo Agriculture,2068,37.83967,8.984667,point,PRECIP,1986,08,09:00,3.1,2.9,1.4,19.1,0.9,0.4,5.6,8.8,8.9,2.2,1.3,3.5,0,0.4,23.2,3.2,16.2,16.1,1.4,7.9,18.3,0,0,1,2.1,7.6,0.2,6.5,3,5.8,6.5
19,Ambo Agriculture,2068,37.83967,8.984667,point,PRECIP,1986,09,09:00,10,1.8,0,0,1.1,14,0.8,11.1,2.4,0,3.2,23.6,3.4,8.5,20.2,0.1,0,0,0,4.3,0.2,0.9,0,0,0.1,0,0,3,0.8,5.8,
20,Ambo Agriculture,2068,37.83967,8.984667,point,PRECIP,1986,10,09:00,0,11.5,3,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,10.7,5,0,0,0,0,0,0,0,0
21,Ambo Agriculture,2068,37.83967,8.984667,point,PRECIP,1986,11,09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,
22,Ambo Agriculture,2068,37.83967,8.984667,point,PRECIP,1986,12,09:00,0,0,0,0,0,0.4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Ameya Gindo,1999,37.754444,8.592222,point,PRECIP,1986,01,09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1
24,Ameya Gindo,1999,37.754444,8.592222,point,PRECIP,1986,02,09:00,0,2.6,0,0,0,0,0,0,0,0,0,0,3.3,4.7,4,5.7,0,2.7,0,0,0,0,4.8,1.9,1.2,0,3.2,0,,,
25,Ameya Gindo,1999,37.754444,8.592222,point,PRECIP,1986,03,09:00,0,15.5,15.7,0,0,0,0,0,0,0,0,0,0.4,0,3.1,6.1,8,0,0,0,0,4.2,0,0,0,0,0,0,0,0,3.6
26,Ameya Gindo,1999,37.754444,8.592222,point,PRECIP,1986,04,09:00,2.4,34.4,14.1,1.2,0,0,5.4,0,0,0,0,1.9,0,5.3,0,0,0.2,0,3.8,5.2,1.4,1.5,0,12.8,3,0,0,0,0,0,
27,Ameya Gindo,1999,37.754444,8.592222,point,PRECIP,1986,05,09:00,0,0,0,14.4,8.7,2.1,8.9,0.1,2.7,2,5.5,20.7,1.2,0.5,6.1,8.1,2,0,0,0,0,2,0,0,0,0.3,3,7.2,18.3,0.9,1.8
28,Ameya Gindo,1999,37.754444,8.592222,point,PRECIP,1986,06,09:00,17,9.4,3,0,3.3,4.5,10.2,20.5,0,17.5,3.8,2.4,6.7,10.2,8.2,4.6,44.5,0.5,1,18.5,7.9,9.3,10.6,15.2,6,1.3,1.8,1.5,0,3.2,
29,Ameya Gindo,1999,37.754444,8.592222,point,PRECIP,1986,07,09:00,2.3,40,10,3.9,6.5,4.3,2.1,4.6,3.5,10.5,19,8.6,6.4,3.2,1.6,8.5,0,0,13.6,11.3,0.3,10.4,4.8,14.4,6.3,8.4,7.9,43.3,15.1,2.3,12
30,Ameya Gindo,1999,37.754444,8.592222,point,PRECIP,1986,08,09:00,2.2,2,8.5,2.8,11.3,6.5,6.2,4.6,1.4,0,0,0.2,9.2,4.2,0.3,0.2,4,6.1,11.8,1,2.4,6.5,14.4,1.5,0,4.8,7.5,4.3,2.7,0,20
31,Ameya Gindo,1999,37.754444,8.592222,point,PRECIP,1986,09,09:00,0.6,13,1.8,0,12.1,0.3,0.1,10.8,11.2,15.7,13.5,11.1,0.9,23.2,22.2,15.2,6.2,0,5,15.4,3.1,1.8,0,0,0.4,0,0,12,8,1.5,
32,Ameya Gindo,1999,37.754444,8.592222,point,PRECIP,1986,10,09:00,2.3,5.9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
33,Ameya Gindo,1999,37.754444,8.592222,point,PRECIP,1986,11,09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,Ameya Gindo,1999,37.754444,8.592222,point,PRECIP,1986,12,09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Asgori,2072,38.3342,8.79,point,PRECIP,1986,01,09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Asgori,2072,38.3342,8.79,point,PRECIP,1986,02,09:00,17.8,0,0,0,0,9,0,0,0,0,0,0,0,7.3,0,0,0,0,13.2,0,0,6.2,0,0,0,3.5,6.1,0,,,
37,Asgori,2072,38.3342,8.79,point,PRECIP,1986,03,09:00,0,1.3,4.5,10.3,1.6,0,0,0,0,0,2.8,0,0,0,0,12.9,0,10,15.7,4.3,0,0,0,0,0,0,0,0,0,0,13.3
38,Asgori,2072,38.3342,8.79,point,PRECIP,1986,04,09:00,0,1.6,16.5,16,3.6,0,0,0,0,0,0,15.1,0,8.6,0,0,0,22.8,16.5,0,2.3,0,18.6,21.6,0,0,0,0,0,0,
39,Asgori,2072,38.3342,8.79,point,PRECIP,1986,05,09:00,0,0,0,8.6,4.2,0,8.5,0,0,7.6,0,4.2,1.7,4.6,2.3,3.5,21.1,0,0,0,0,0,0,0,0,0,3.8,0,26.5,0,12.5
40,Asgori,2072,38.3342,8.79,point,PRECIP,1986,06,09:00,2.5,0,0,0,2.3,0,0,17.4,0,0,0,8.2,0,0,0,4.2,17.9,9.6,13.4,2.6,25.4,3.2,0,3.6,8.2,27.4,9.8,26.4,12.3,6.5,
41,Asgori,2072,38.3342,8.79,point,PRECIP,1986,07,09:00,6.7,0,0,0,0,16.4,3.4,9.6,12.4,36.3,24.6,13.4,1.4,0,0,1.8,12.3,5.3,0.3,0,3.5,20.3,15.2,6.4,3.2,0,0,12.5,6.5,0,26.4
42,Asgori,2072,38.3342,8.79,point,PRECIP,1986,08,09:00,15.4,2.4,6.5,3.2,9.4,0.6,8.3,34.3,6.5,0,0,0,18.4,2.5,0,14.3,4.3,8.6,0,3.4,12.5,0,2.6,0,0,66.9,2.9,7,8.7,13.7,2.5
43,Asgori,2072,38.3342,8.79,point,PRECIP,1986,09,09:00,20.5,0,4.3,0,0,17.4,18.2,0,0,0,6.5,0,0,8.6,11.2,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,
44,Asgori,2072,38.3342,8.79,point,PRECIP,1986,10,09:00,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Asgori,2072,38.3342,8.79,point,PRECIP,1986,11,09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
46,Asgori,2072,38.3342,8.79,point,PRECIP,1986,12,09:00,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Bantuliben,2167,38.357,8.6185,point,PRECIP,1986,01,09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Bantuliben,2167,38.357,8.6185,point,PRECIP,1986,02,09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
49,Bantuliben,2167,38.357,8.6185,point,PRECIP,1986,03,09:00,0,0,0,0,0,0,0,0,0,10,12,0,0,1.5,12,0,0,15,0,2,7,0,0,0,0,0,0,0,0,0,0
50,Bantuliben,2167,38.357,8.6185,point,PRECIP,1986,04,09:00,0,0,0,0,0,0,0,0,0,8,15,0,0,0,5,0,0,6,0,0,12,0,0,0,0,0,0,15,7,0,
51,Bantuliben,2167,38.357,8.6185,point,PRECIP,1986,06,09:00,6,0,21,0,8,9,20,14,4,20,0,11,0,0,19,0,25,0,0,0,0,20,10,0,0,20,8,2,12,0,
